Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2015,388,1,0,H4,901,8,547489,547489,2805644,0
2015,388,2,0,H4,901,8,598501,598501,26966286,0
2015,388,1,0,H4,90111,8,432519,432519,2262047,0
2015,388,2,0,H4,90111,8,555039,555039,25197000,0
2015,388,1,0,H4,90112,8,110817,110817,511406,0
2015,388,2,0,H4,90112,8,2966,2966,312588,0
2015,388,1,0,H4,90121,8,12,12,41,0
2015,388,2,0,H4,90121,8,30565,30565,1154911,0
2015,388,1,0,H4,90122,8,4101,4101,31822,0
2015,388,2,0,H4,90122,8,6544,6544,139608,0
2015,388,1,0,H4,90190,8,40,40,328,0
2015,388,2,0,H4,90190,8,3387,3387,162179,0
2015,388,1,0,H4,902,8,252494,252494,1954318,0
2015,388,2,0,H4,902,8,197708,197708,1866133,0
2015,388,3,0,H4,902,8,43813,43813,301789,0
2015,388,1,0,H4,90210,8,121112,121112,1139648,0
2015,388,2,0,H4,90210,8,12279,12279,117866,0
2015,388,1,0,H4,90220,8,66624,66624,505799,0
2015,388,2,0,H4,90220,8,1897,1897,14493,0
2015,388,1,0,H4,90230,8,6252,6252,65544,0
2015,388,2,0,H4,90230,8,149820,149820,1383750,0
2015,388,3,0,H4,90230,8,43813,43813,301789,0
2015,388,1,0,H4,90240,8,58506,58506,243327,0
2015,388,2,0,H4,90240,8,33712,33712,350024,0
2015,388,1,0,H4,904,8,480438,480438,3318995,0
2015,388,2,0,H4,904,8,226450,226450,1555362,0
2015,388,1,0,H4,90411,8,186466,186466,2100971,0
2015,388,2,0,H4,90411,8,30338,30338,117649,0
2015,388,1,0,H4,90412,8,185416,185416,775543,0
2015,388,2,0,H4,90412,8,34510,34510,78941,0
2015,388,1,0,H4,90421,8,26864,26864,170479,0
2015,388,2,0,H4,90421,8,96404,96404,789690,0
2015,388,1,0,H4,90422,8,81691,81691,272002,0
2015,388,2,0,H4,90422,8,65198,65198,569082,0
2015,388,1,0,H4,905,8,17340,17340,107267,0
2015,388,2,0,H4,905,8,21534,21534,64008,0
2015,388,1,0,H4,90510,8,1324,1324,9385,0
